code,city_id,state,lat,lon
725,Urb Santa Juana 4, PR,18.23,-66.03
725,Urb Santa Rosa, PR,18.23,-66.03
725,Urb Santo Domingo, PR,18.23,-66.03
725,Urb Verde Sur, PR,18.23,-66.03
725,Valle De San Luis, PR,18.23,-66.03
725,Valles Del Lago, PR,18.23,-66.03
725,Villa Blanca, PR,18.23,-66.03
725,Villa Borinquen, PR,18.23,-66.03
725,Villa Carmen, PR,18.23,-66.03
725,Villa De Castro, PR,18.23,-66.03
725,Villa Del Rey 1, PR,18.23,-66.03
725,Villa Del Rey 2, PR,18.23,-66.03
725,Villa Guadalupe, PR,18.23,-66.03
725,Villa Las Mercedes, PR,18.23,-66.03
725,Villa Los Criollos, PR,18.23,-66.03
725,Villa Maria, PR,18.23,-66.03
725,Villa Turabo, PR,18.23,-66.03
725,Villa Victoria, PR,18.23,-66.03
725,Villas De Rio Verde, PR,18.23,-66.03
725,Villas Del Rio Verde, PR,18.23,-66.03
726,Caguas, PR,18.23,-66.03
727,Caguas, PR,18.23,-66.03
727,Alt De La Fuente, PR,18.23,-66.03
727,Alt Villa Del Rey, PR,18.23,-66.03
727,Bosque Verde, PR,18.23,-66.03
727,Chalets De Bairoa, PR,18.23,-66.03
727,Ciudad Jardin De Bairoa, PR,18.23,-66.03
727,Est De Bairoa, PR,18.23,-66.03
727,Est Degetau, PR,18.23,-66.03
727,Est Del Turabo, PR,18.23,-66.03
727,Hacienda San Jose, PR,18.23,-66.03
727,Jard De Caguas, PR,18.23,-66.03
727,Mans De Ciudad Jardin Bairoa, PR,18.23,-66.03
727,Mans El Paraiso, PR,18.23,-66.03
727,Parq Del Monte, PR,18.23,-66.03
727,Parq Del Monte 2, PR,18.23,-66.03
727,Parq Del Rio, PR,18.23,-66.03
727,Parq Las Haciendas, PR,18.23,-66.03
727,Repto San Jose, PR,18.23,-66.03
727,Sect Altos De La Fuente, PR,18.23,-66.03
727,Urb Altomonte, PR,18.23,-66.03
727,Urb Altos De La Fuente, PR,18.23,-66.03
727,Urb Arbolada, PR,18.23,-66.03
727,Urb Bairoa Golden Gate Ii, PR,18.23,-66.03
727,Urb Bairoa Golden Gates, PR,18.23,-66.03
727,Urb Bairoa Park, PR,18.23,-66.03
727,Urb Bonneville Hts, PR,18.23,-66.03
727,Urb Bonneville Manor, PR,18.23,-66.03
727,Urb Bonneville Vly, PR,18.23,-66.03
727,Urb Diamond Vlg, PR,18.23,-66.03
727,Urb El Valle, PR,18.23,-66.03
727,Urb Idamaris Gdns, PR,18.23,-66.03
727,Urb Islabella, PR,18.23,-66.03
727,Urb La Reserva, PR,18.23,-66.03
727,Urb Las Nubes, PR,18.23,-66.03
727,Urb Mirador De Bairoa, PR,18.23,-66.03
727,Urb Palmas Del Turabo, PR,18.23,-66.03
727,Urb Terralinda, PR,18.23,-66.03
727,Urb Turabo Gdns, PR,18.23,-66.03
727,Valle Tolima, PR,18.23,-66.03
727,Valle Verde, PR,18.23,-66.03
727,Villa Caliz, PR,18.23,-66.03
727,Villa Del Rey 3, PR,18.23,-66.03
727,Villa Del Rey 4, PR,18.23,-66.03
727,Villa Del Rey 5, PR,18.23,-66.03
727,Villa Esperanza, PR,18.23,-66.03
727,Villa Hermosa, PR,18.23,-66.03
727,Villa Nueva, PR,18.23,-66.03
627,Camuy, PR,18.48,-66.84
627,Alts El Maestro, PR,18.48,-66.84
627,Sect Pena, PR,18.48,-66.84
627,Urb Del Carmen, PR,18.48,-66.84
627,Urb Las Veredas, PR,18.48,-66.84
627,Urb Linda Vista, PR,18.48,-66.84
627,Vistas De Camuy, PR,18.48,-66.84
729,Canovanas, PR,18.37,-65.90
729,Brisas De Canovanas, PR,18.37,-65.90
729,Brisas De Loiza, PR,18.37,-65.90
729,Ciudad Jardin De Canovanas, PR,18.37,-65.90
729,Est Del Rio, PR,18.37,-65.90
729,Ext Villas De Loiza, PR,18.37,-65.90
729,Haciendas De Canovanas, PR,18.37,-65.90
729,Jard De Canovanas, PR,18.37,-65.90
729,Jard De Palmarejo, PR,18.37,-65.90
729,Parc Central, PR,18.37,-65.90
729,Parc Monteverde, PR,18.37,-65.90
729,Parc San Isidro, PR,18.37,-65.90
729,Parc Villa Delicias, PR,18.37,-65.90
729,Qtas De Canovanas, PR,18.37,-65.90
729,Qtas Jard De Parmarejo, PR,18.37,-65.90
729,Urb Country View, PR,18.37,-65.90
729,Urb Del Pilar, PR,18.37,-65.90
729,Urb Las Haciendas Canovanas, PR,18.37,-65.90
729,Urb Las Vegas, PR,18.37,-65.90
729,Urb Loiza Valley, PR,18.37,-65.90
729,Urb Los Eucaliptos, PR,18.37,-65.90
729,Urb Pueblo Indio, PR,18.37,-65.90
729,Urb River Gdns, PR,18.37,-65.90
729,Urb River Plantation, PR,18.37,-65.90
729,Urb River Valley, PR,18.37,-65.90
729,Urb River Valley Pk, PR,18.37,-65.90
729,Urb Town Pk, PR,18.37,-65.90
729,Urb Usubal, PR,18.37,-65.90
729,Villas De Loiza, PR,18.37,-65.90
729,Villas Del Este, PR,18.37,-65.90
729,Villas Doradas, PR,18.37,-65.90
979,Carolina, PR,18.40,-65.98
979,Ext Villamar, PR,18.40,-65.98
979,Isla Verde, PR,18.40,-65.98
979,Parq De Isla Verde, PR,18.40,-65.98
979,Urb Atlantic View, PR,18.40,-65.98
979,Urb Biascochea, PR,18.40,-65.98
979,Urb Cape Sea Vlg, PR,18.40,-65.98
979,Urb La Marina, PR,18.40,-65.98
